,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,image16
0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0
1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0
2,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0
3,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0
4,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1
5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
6,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1
7,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0
8,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
9,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1
10,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.00635002,0.0,0.0,0.1,0.0,0.0,0.0,0.1
11,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1
12,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.00635002,0.1,0.1,0.0,0.0,0.1,0.1,0.1
13,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.00635002,0.1,0.0,0.0,0.0,0.0,0.0,0.1
14,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1
15,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1
16,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0
17,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.00635002,0.1,0.0,0.1,0.0,0.0,0.1,0.0
18,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
19,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0
20,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1
21,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0
22,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
23,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.00635002,0.0,0.1,0.1,0.0,0.0,0.1,0.0
24,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.00635002,0.1,0.1,0.0,0.1,0.1,0.1,0.0
25,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.00635002,0.0,0.1,0.0,0.0,0.1,0.1,0.1
26,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0
29,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.1,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
31,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1
33,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
34,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0025171677,0.0,0.1,0.1,0.0,0.0,0.0,0.1
35,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1
36,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0038353787,0.0,0.1,0.1,0.0,0.0,0.1,0.1
37,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1
38,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.005031809,0.0,0.1,0.1,0.0,0.1,0.1,0.0
39,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.0,0.0,0.0,0.0,0.1,0.1
40,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.0,0.0,0.0,0.0,0.1,0.1
41,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.00635002,0.0,0.0,0.0,0.0,0.0,0.0,0.1
42,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
43,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.00635002,0.0,0.1,0.0,0.1,0.0,0.1,0.0
44,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
45,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.0
46,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1
47,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1
48,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.00635002,0.0,0.1,0.0,0.1,0.1,0.0,0.1
49,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0
50,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.00635002,0.0,0.1,0.0,0.1,0.1,0.1,0.0
51,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.00635002,0.0,0.1,0.0,0.1,0.1,0.1,0.0
52,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.00635002,0.1,0.1,0.0,0.1,0.1,0.1,0.1
53,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1
54,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.00635002,0.0,0.1,0.1,0.0,0.1,0.0,0.0
57,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.00635002,0.0,0.1,0.0,0.0,0.1,0.0,0.1
58,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0
59,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.0025171677,0.0,0.0,0.0,0.1,0.0,0.1,0.1
60,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.1
61,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0025171677,0.0,0.1,0.0,0.0,0.0,0.0,0.0
62,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
63,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
64,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
65,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.00635002,0.0,0.0,0.1,0.0,0.0,0.1,0.1
66,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.0,0.1,0.0,0.0,0.1,0.1
67,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
68,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.00635002,0.0,0.0,0.0,0.0,0.0,0.0,0.1
69,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.00635002,0.0,0.1,0.0,0.0,0.0,0.0,0.0
70,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0
72,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0
73,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1
74,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.00635002,0.0,0.1,0.0,0.0,0.1,0.1,0.1
75,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1
76,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
77,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
78,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.00635002,0.0,0.1,0.0,0.1,0.1,0.1,0.1
79,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1
80,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1
81,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
82,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.00635002,0.1,0.1,0.1,0.1,0.0,0.1,0.1
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0025171677,0.0,0.0,0.0,0.0,0.1,0.0,0.1
85,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
86,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
87,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0025171677,0.0,0.0,0.0,0.1,0.0,0.1,0.1
88,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0025171677,0.0,0.0,0.0,0.0,0.0,0.0,0.1
89,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
90,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
91,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
92,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.005031809,0.0,0.0,0.1,0.0,0.1,0.1,0.1
93,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.0,0.1,0.0,0.1,0.0,0.0
94,0.0,0.40941176,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.024705883,0.1,0.0,0.0,0.1
95,0.0,0.44117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.1
96,0.0,0.60352945,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.8929412,0.0,0.0,0.0,0.0
97,0.0,1.0,0.1,0.0,0.1,0.1,0.0,0.1,0.00635002,0.1,0.1,0.7211765,0.0,0.1,0.0,0.0
98,0.0,0.9,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0
99,0.0,0.5294118,0.1,0.1,0.1,0.1,0.1,0.1,0.00635002,0.1,0.1,0.1,0.0,0.1,0.0,0.0
100,0.0,0.4282353,0.0,0.0,0.0,0.1,0.1,0.0,0.00635002,0.0,0.1,0.1,0.0,0.1,0.0,0.0
101,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.00635002,0.0,0.1,0.1,0.0,0.1,0.1,0.1
102,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.00635002,0.0,0.0,0.1,0.0,0.0,0.1,0.0
103,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.00635002,0.0,0.0,0.1,0.0,0.0,0.1,0.0
104,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.00635002,0.0,0.1,0.0,0.0,0.0,0.1,0.0
105,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0
106,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1
107,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0
108,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.00635002,0.1,0.0,0.0,0.1,0.1,0.0,0.0
109,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.00635002,0.1,0.0,0.0,0.1,0.1,0.0,0.0
110,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.00635002,0.1,0.1,0.1,0.1,0.0,0.1,0.1
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
113,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
114,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
115,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.003474173,0.0,0.0,0.0,0.1,0.0,0.1,0.0
116,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
117,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.005031809,0.0,0.1,0.1,0.0,0.0,0.1,0.1
118,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
119,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0025171677,0.0,0.0,0.1,0.0,0.1,0.0,0.1
120,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.0,0.1,0.0,0.1,0.0,0.1
121,0.1,0.6964706,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.12470588,0.1,0.0,0.0,0.1
122,0.1,0.8929412,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.5294118,0.0,0.0,0.0,0.0
123,0.0,0.9929412,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.31529412,0.88941175,0.0,0.1,0.1,0.0
124,0.0,0.8929412,0.1,0.03882353,0.0,0.1,0.0,0.1,0.0,0.0,0.11058824,0.9894118,0.0,0.1,0.1,0.18
125,0.0,0.8929412,0.1,0.6294118,0.1,0.1,0.1,0.1,0.00635002,0.0,0.2482353,0.54117644,0.1,0.1,0.5517647,0.4658824
126,0.0,0.8929412,0.1,0.8929412,0.1,0.1,0.1,0.1,0.00635002,0.0,0.5164706,0.1,0.0,0.1,0.9,0.8552941
127,0.0,0.8929412,0.1,0.8129412,0.1,0.1,0.1,0.0,0.00635002,0.0,0.6811765,0.1,0.0,0.1,0.77411765,0.9929412
128,0.0,0.7694118,0.23411766,0.20941177,0.0,0.1,0.1,0.1,0.00635002,0.0,0.4164706,0.1,0.0,0.0,0.0,0.8964706
129,0.0,0.20588236,0.8964706,0.1,0.1,0.0,0.1,0.0,0.07301669,0.0,0.4164706,0.1,0.0,0.0,0.1,0.8929412
130,0.1,0.1,0.4847059,0.1,0.1,0.0,0.1,0.0,0.19066375,0.0,0.31529412,0.1,0.0,0.0,0.1,0.7164706
131,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.19066375,0.0,0.0,0.1,0.0,0.0,0.1,0.5717647
132,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1779637,0.0,0.0,0.0,0.0,0.0,0.1,0.14470589
133,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.056395084,0.1,0.0,0.1,0.1,0.1,0.0,0.1
134,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.49953237,0.0,0.0,0.0,0.1,0.1,0.0,0.0
135,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.33968335,0.1,0.0,0.0,0.1,0.1,0.0,0.0
136,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.19066375,0.1,0.1,0.0,0.1,0.1,0.0,0.0
137,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0
138,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.00635002,0.0,0.0,0.1,0.1,0.0,0.1,0.1
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
140,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.00635002,0.1,0.0,0.0,0.1,0.0,0.1,0.0
141,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
142,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0053930148,0.0,0.0,0.0,0.0,0.0,0.1,0.1
143,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0059888144,0.0,0.0,0.0,0.1,0.0,0.0,0.1
144,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.00635002,0.1,0.0,0.0,0.0,0.1,0.0,0.1
145,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1
146,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0038353787,0.0,0.0,0.1,0.1,0.1,0.0,0.1
147,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0025171677,0.0,0.0,0.1,0.0,0.1,0.0,0.1
148,0.0,0.6964706,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.46
149,0.0,0.8929412,0.0,0.0,0.1,0.0,0.07764706,0.1,0.0,0.0,0.049411766,0.4129412,0.0,0.0,0.0,0.5011765
150,0.0,0.8929412,0.1,0.0,0.2764706,0.1,0.67764705,0.1,0.00635002,0.0,0.6317647,0.88941175,0.0,0.1,0.0,0.7164706
151,0.0,0.8929412,0.1,0.0,0.8905882,0.1,0.5729412,0.1,0.0,0.0,0.9647059,0.7564706,0.1,0.1,0.1,0.7164706
152,0.0,0.7517647,0.1,0.23058824,0.0,0.1,0.21294118,0.1,0.003474173,0.0,0.9329412,0.19764706,0.1,0.16,0.1,0.9929412
153,0.0,0.5011765,0.1,0.8858824,0.1,0.1,0.1,0.1,0.0,0.0,0.95411766,0.1,0.1,0.3329412,0.6741177,0.9894118
154,0.0,0.6211765,0.1,0.8858824,0.1,0.1,0.1,0.1,0.0,0.1,0.9964706,0.0,0.1,0.58705884,0.9,0.8929412
155,0.0,0.8929412,0.0,0.9929412,0.1,0.1,0.1,0.1,0.28776765,0.1,0.9964706,0.0,0.1,0.9,0.9,0.9894118
156,0.1,0.8929412,0.40705884,0.37764707,0.1,0.37176472,0.0,0.0,0.60635006,0.1,0.9964706,0.1,0.1,0.8929412,0.32588238,0.5329412
157,0.1,0.53058827,0.88941175,0.0,0.1,0.8964706,0.1,0.0,0.85733044,0.1,0.9964706,0.0,0.1,0.5964706,0.0,0.24705884
158,0.1,0.1,0.38941178,0.1,0.1,0.37764707,0.1,0.0,0.9985069,0.0,0.86470586,0.0,0.1,0.48705885,0.1,0.1
159,0.1,0.0,0.0,0.1,0.34705883,0.010588235,0.1,0.0,0.9858068,0.0,0.92941177,0.1,0.1,0.18117648,0.1,0.1
160,0.1,0.0,0.1,0.0,0.10235294,0.0,0.0,0.0,0.994674,0.1,0.29647058,0.1,0.0,0.1,0.1,0.1
161,0.1,0.0,0.0,0.1,0.0,0.0,0.052941177,0.0,0.8494873,0.1,0.1,0.1,0.1,0.1,0.0,0.1
162,0.1,0.0,0.0,0.1,0.0,0.0,0.27176473,0.0,0.95835584,0.1,0.1,0.1,0.1,0.1,0.0,0.0
163,0.1,0.0,0.0,0.1,0.1,0.0,0.11764706,0.0,0.9858068,0.1,0.1,0.0,0.1,0.1,0.0,0.0
164,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.9858068,0.0,0.0,0.1,0.0,0.0,0.0,0.0
165,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
166,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00635002,0.1,0.0,0.0,0.0,0.0,0.0,0.0
168,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.0,0.1,0.0
169,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.00635002,0.0,0.0,0.0,0.1,0.1,0.1,0.1
170,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.00635002,0.0,0.1,0.0,0.1,0.0,0.0,0.1
171,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1
172,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1
173,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.1
174,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.0028783735,0.0,0.0,0.1,0.1,0.1,0.0,0.1
175,0.0,0.2835294,0.0,0.1,0.1,0.0,0.0,0.1,0.00635002,0.1,0.0,0.1,0.1,0.0,0.0,0.1
176,0.0,0.88235295,0.1,0.1,0.1,0.0,0.16,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.9964706
177,0.0,0.8929412,0.1,0.0,0.1,0.1,0.82941175,0.1,0.0038353787,0.1,0.6329412,0.49764708,0.1,0.1,0.1,0.8929412
178,0.0,0.7411765,0.1,0.0,0.42705882,0.1,0.982353,0.1,0.0,0.1,0.9964706,0.88941175,0.1,0.11764706,0.1,0.8611765
